rank,company,revenue ($ millions),profit ($ millions),Sector
172,Diamond Shamrock,2575.9,37.1,Energy
173,Ethyl,2574.8,206.7,Basic Materials
174,Sherwin-Williams,2552.0,128.2,Basic Materials
175,Avery Dennison,2545.1,63.0,Consumer Cyclical
176,Total Petroleum,2516.1,-11.5,Energy
177,Temple-Inland,2507.1,138.4,Basic Materials
178,Quantum Chemical,2486.3,-123.3,Basic Materials
179,Goodrich,2471.6,-80.6,Industrials
180,Land O'Lakes,2458.1,N.A.,Consumer Defensive
181,Phelps Dodge,2446.0,272.9,Basic Materials
182,Parker Hannifin,2440.8,59.2,Industrials
183,Armstrong Holdings,2439.3,48.2,Industrials
184,Engelhard,2436.4,87.9,Basic Materials
185,Reader's Digest Assn.,2393.8,209.1,Communication Services
186,Paccar,2376.8,55.2,Industrials
187,National Steel,2329.8,-189.0,Basic Materials
188,Westvaco,2321.8,137.4,Basic Materials
189,McDermott,2299.5,-10.7,Industrials
190,Maxxam,2297.3,57.5,Basic Materials
191,Olin,2290.0,-13.0,Basic Materials
192,Ball,2267.4,66.2,Basic Materials
193,Knight-Ridder,2243.8,132.1,Communication Services
194,Dover,2195.8,128.2,Industrials
195,Intl. Multifoods,2191.9,35.2,Consumer Defensive
196,Becton Dickinson,2172.2,189.8,Healthcare
197,Dean Foods,2159.5,72.5,Consumer Defensive
198,Hasbro,2141.1,81.7,Consumer Cyclical
199,Sequa,2136.9,N.A.,Industrials
200,Loral,2136.0,90.4,Consumer Defensive
201,Wang Laboratories,2127.1,-385.5,Technology
202,Manville,2121.5,34.7,Basic Materials
203,Polaroid,2096.2,683.7,Consumer Cyclical
204,Brunswick,2088.3,-23.7,Consumer Cyclical
205,Burlington Industries Equity,2080.9,-68.6,Consumer Cyclical
206,Tribune,2034.7,142.0,Communication Services
207,Liz Claiborne,2029.3,222.7,Consumer Cyclical
208,Willamette Industries,2004.5,45.8,Basic Materials
209,Central Soya,2000.4,24.8,Consumer Defensive
210,E-SYSTEMS,1997.8,109.5,Industrials
211,GenCorp,1993.0,32.0,Industrials
212,Tosco,1986.6,75.4,Energy
213,Stanley Works,1962.2,82.6,Industrials
214,Harsco,1956.3,76.5,Industrials
215,Burlington Resources,1946.5,205.4,Consumer Cyclical
216,McGraw-Hill,1943.0,148.0,Communication Services
217,Tandem Computers,1939.7,35.2,Consumer Cyclical
218,Asarco,1938.7,46.0,Consumer Cyclical
219,Morton International,1920.8,138.3,Basic Materials
220,Molson Coors Brewing,1918.4,25.5,Consumer Defensive
221,Springs Industries,1891.3,27.1,Consumer Cyclical
222,Dow Corning,1877.3,152.9,Basic Materials
223,Murphy Oil,1877.3,-11.2,Energy
224,USG,1840.0,-161.0,Basic Materials
225,Crown Central,1764.8,-6.0,Energy
226,MID-AMERICA DAIRYMEN,1751.5,N.A.,Consumer Defensive
227,Dow Jones,1731.6,72.2,Communication Services
228,Louisiana-Pacific,1714.2,55.9,Industrials
229,National Semiconductor,1711.2,-151.4,Technology
230,Sundstrand,1708.5,108.8,Industrials
231,New York Times,1703.1,47.0,Communication Services
232,AMDAHL,1702.5,10.6,Technology
233,Sonoco Products,1697.1,94.8,Consumer Cyclical
234,Echlin,1694.9,41.7,Consumer Cyclical
235,Aeroquip-Vickers,1681.2,-184.1,Industrials
236,Arvin Industries,1679.6,23.2,Consumer Cyclical
237,Rubbermaid,1673.2,162.6,Consumer Cyclical
238,Cyprus Amax Minerals,1659.3,42.7,Basic Materials
239,Storage Technology,1653.3,93.1,Technology
240,York International,1652.7,-4.3,Industrials
241,Mattel,1650.0,112.8,Consumer Cyclical
242,Timken,1647.4,-35.7,Industrials
