Rank,Name,Ticker,Sector,Industry
449,American Axle & Manufacturing,AXL,Consumer Cyclical,Auto Parts
450,Old Republic International,ORI,Financial Services,Insurance - Diversified
451,Chemours,CC,Basic Materials,Specialty Chemicals
452,iHeartMedia,IHRT,Communication Services,Broadcasting
453,Ameren,AEE,Utilities,Utilities - Regulated Electric
454,Arthur J. Gallagher,AJG,Financial Services,Insurance Brokers
455,Celanese,CE,Basic Materials,Chemicals
456,Sealed Air,SEE,Consumer Cyclical,Packaging & Containers
457,UGI,UGI,Utilities,Utilities - Regulated Gas
458,Realogy Holdings,RLGY,,
459,Burlington Stores,BURL,Consumer Cyclical,Apparel Retail
460,Regions Financial,RF,Financial Services,Banks - Regional
461,AK Steel Holding,,,
462,Securian Financial Group,,,
463,S&P Global,SPGI,Financial Services,Financial Data & Stock Exchanges
464,Markel,MKL,Financial Services,Insurance - Property & Casualty
465,TravelCenters of America,TA,,
466,Conduent,CNDT,Technology,Information Technology Services
467,M&T Bank Corp.,MTB,Financial Services,Banks - Regional
468,Clorox,CLX,Consumer Defensive,Household & Personal Products
469,AmTrust Financial Services,AAFS,,
470,KKR,KKR,Financial Services,Asset Management
471,Ulta Beauty,ULTA,Consumer Cyclical,Specialty Retail
472,Yum Brands,YUM,Consumer Cyclical,Restaurants
473,Regeneron Pharmaceuticals,REGN,Healthcare,Biotechnology
474,Windstream Holdings,WINMQ,,
475,Magellan Health,MGLN,,
476,Western & Southern Financial,,,
477,Intercontinental Exchange,ICE,Financial Services,Financial Data & Stock Exchanges
478,Ingredion,INGR,Consumer Defensive,Packaged Foods
479,Wyndham Destinations,WH,Consumer Cyclical,Lodging
480,Toll Brothers,TOL,Consumer Cyclical,Residential Construction
481,Seaboard,SEB,Industrials,Conglomerates
482,Booz Allen Hamilton,BAH,Industrials,Consulting Services
483,First American Financial,FAF,Financial Services,Insurance - Specialty
484,Cincinnati Financial,CINF,Financial Services,Insurance - Property & Casualty
485,Avon Products,AVP,,
486,Northern Trust,NTRS,Financial Services,Asset Management
487,Fiserv,FISV,,
488,Harley-Davidson,HOG,Consumer Cyclical,Recreational Vehicles
489,Cheniere Energy,LNG,Energy,Oil & Gas Midstream
490,Patterson,PDCO,Healthcare,Medical Distribution
491,Peabody Energy,BTU,Energy,Thermal Coal
492,ON Semiconductor,ON,Technology,Semiconductors
493,Simon Property Group,SPG,Real Estate,REIT - Retail
494,Western Union,WU,Financial Services,Credit Services
495,NetApp,NTAP,Technology,Computer Hardware
496,Polaris Industries,PII,Consumer Cyclical,Recreational Vehicles
497,Pioneer Natural Resources,PXD,Energy,Oil & Gas E&P
498,ABM Industries,ABM,Industrials,Specialty Business Services
499,Vistra Energy,VST,Utilities,Utilities - Independent Power Producers
500,Cintas,CTAS,Industrials,Specialty Business Services
