Rank,Name,Ticker
281,Uber Technologies,UBER
282,Mutual of Omaha Insurance,
283,Conagra Brands,CAG
284,PulteGroup,PHM
285,EOG Resources,EOG
286,Group 1 Automotive,GPI
287,Ally Financial,ALLY
288,Fidelity National Financial,FNF
289,Nordstrom,JWN
290,Discovery,DISCA
291,Tractor Supply,TSCO
292,CSX,CSX
293,Marriott International,MAR
294,FirstEnergy,FE
295,BorgWarner,BWA
295,Jones Financial (Edward Jones),
297,Republic Services,RSG
298,Henry Schein,HSIC
299,Expeditors Intl. of Washington,EXPD
300,Entergy,ETR
301,Advance Auto Parts,AAP
302,Assurant,AIZ
303,Pacific Life,
304,Lam Research,LRCX
305,Boston Scientific,BSX
306,Altice USA,ATUS
307,Norfolk Southern,NSC
308,Sonic Automotive,SAH
309,Advanced Micro Devices,AMD
310,United States Steel,X
311,Markel,MKL
312,ODP,ODP
313,AES,AES
314,Molson Coors Beverage,TAP
315,J.B. Hunt Transport Services,JBHT
316,KKR,KKR
317,Hormel Foods,HRL
318,Public Service Enterprise Group,PEG
319,Steel Dynamics,STLD
320,Dick's Sporting Goods,DKS
321,Mohawk Industries,MHK
322,Murphy USA,MUSA
323,Square,
324,Quest Diagnostics,DGX
325,Newell Brands,NWL
326,Liberty Media,LSXMA
327,Huntington Ingalls Industries,HII
328,Cheniere Energy,LNG
329,SpartanNash,SPTN
330,Alcoa,AA
331,AGCO,AGCO
332,Voya Financial,VOYA
333,NRG Energy,NRG
334,Interpublic Group,IPG
335,Campbell Soup,CPB
336,Southwest Airlines,LUV
337,News Corp.,NWSA
338,Eversource Energy,ES
339,Alleghany,Y
340,Air Products & Chemicals,APD
341,Auto-Owners Insurance,
342,CenterPoint Energy,CNP
343,Reliance Steel & Aluminum,RS
344,EMCOR Group,EME
345,Owens & Minor,OMI
346,Mosaic,MOS
347,Erie Insurance Group,
348,Genworth Financial,GNW
349,Amphenol,APH
350,Builders FirstSource,BLDR
351,Oneok,OKE
352,United Rentals,URI
353,Brighthouse Financial,BHF
354,Regeneron Pharmaceuticals,REGN
355,Eastman Chemical,EMN
356,CommScope Holding,COMM
357,Ryder System,R
358,Fifth Third Bancorp,FITB
359,Constellation Brands,STZ
360,Insight Enterprises,NSIT
361,Global Partners,GLP
362,Univar Solutions,UNVR
363,Yum China Holdings,YUMC
364,Targa Resources,TRGP
365,Intercontinental Exchange,ICE
366,Andersons,ANDE
367,Raymond James Financial,RJF
368,Thor Industries,THO
369,Thrivent Financial for Lutherans,
370,Hershey,HSY
371,Casey's General Stores,CASY
372,W.R. Berkley,WRB
373,Activision Blizzard,ATVI
374,Western & Southern Financial Group,
375,American Tower,AMT
376,American Financial Group,AFG
377,Darden Restaurants,DRI
378,J.M. Smucker,SJM
379,Williams,WMB
380,Intuit,INTU
381,Citizens Financial Group,CFG
382,PPL,PPL
383,NVR,NVR
384,Westinghouse Air Brake Technologies,WAB
385,Foot Locker,FL
386,Cincinnati Financial,CINF
387,Weyerhaeuser,WY
388,Westlake Chemical,WLK
389,Navistar International,NAV
390,Magellan Health,MGLN
391,Booz Allen Hamilton Holding,BAH
392,Autoliv,ALV
393,S&P Global,SPGI
394,Global Payments,GPN
395,Motorola Solutions,MSI
396,KeyCorp,KEY
397,Delek US Holdings,DK
398,Masco,MAS
399,Graybar Electric,
400,WEC Energy Group,WEC
401,Old Republic International,ORI
402,Frontier Communications,FYBR
403,Chewy,CHWY
404,PVH,PVH
405,Asbury Automotive Group,ABG
406,Seaboard,SEB
407,Polaris,PII
408,Dana,DAN
409,First American Financial,FAF
410,Cintas,CTAS
411,Toll Brothers,TOL
412,Science Applications International,SAIC
413,Owens Corning,OC
414,Zimmer Biomet Holdings,ZBH
415,Xerox Holdings,XRX
416,Arthur J. Gallagher,AJG
417,Avery Dennison,AVY
418,Sanmina,SANM
419,Jefferies Financial Group,JEF
420,Beacon Roofing Supply,BECN
421,Securian Financial Group,
422,Oshkosh,OSK
423,FM Global,
424,Booking Holdings,BKNG
425,Williams-Sonoma,WSM
426,Coty,COTY
427,Clorox,CLX
428,Pioneer Natural Resources,PXD
429,Dover,DOV
430,CMS Energy,CMS
431,Zoetis,ZTS
432,Hanesbrands,HBI
433,Packaging Corp. of America,PKG
434,Regions Financial,RF
435,Graphic Packaging Holding,GPK
436,UGI,UGI
437,Sprouts Farmers Market,SFM
438,Avantor,AVTR
439,Veritiv,VRTV
440,Rockwell Automation,ROK
441,MasTec,MTZ
442,DCP Midstream,DCP
443,Northern Trust,NTRS
444,M&T Bank,MTB
445,Realogy Holdings,RLGY
446,NCR,NCR
447,T. Rowe Price,TROW
448,Vertex Pharmaceuticals,VRTX
449,Big Lots,BIG
450,Ralph Lauren,RL
451,Ulta Beauty,ULTA
452,Taylor Morrison Home,TMHC
453,Icahn Enterprises,IEP
454,Blackstone Group,BX
455,O-I Glass,OI
456,Fortune Brands Home & Security,FBHS
457,NOV,NOV
458,Ovintiv,OVV
459,Alexion Pharmaceuticals,ALXN
460,Huntsman,HUN
461,Equinix,EQIX
462,ABM Industries,ABM
463,Ingredion,INGR
464,Chipotle Mexican Grill,CMG
465,Sinclair Broadcast Group,SBGI
466,LPL Financial Holdings,LPLA
467,Crown Castle International,CCI
468,KLA,KLAC
469,Ameren,AEE
470,KBR,KBR
471,Burlington Stores,BURL
472,Olin,OLN
473,CACI International,CACI
474,Post Holdings,POST
475,Academy Sports and Outdoors,ASO
476,Arconic,ARNC
477,Celanese,CE
478,Yum Brands,YUM
479,Fastenal,FAST
480,Nasdaq,NDAQ
481,Analog Devices,ADI
482,McCormick,MKC
483,Carvana,CVNA
484,Franklin Resources,BEN
485,Electronic Arts,EA
486,MDU Resources Group,MDU
487,Select Medical Holdings,SEM
488,Roper Technologies,ROP
489,RPM International,RPM
490,Cerner,CERN
491,Patterson,PDCO
492,Commercial Metals,CMC
493,Boise Cascade,BCC
494,Hasbro,HAS
495,A-Mark Precious Metals,AMRK
496,Camping World Holdings,CWH
497,NetApp,NTAP
498,Avis Budget Group,CAR
499,R.R. Donnelley & Sons,RRD
500,Moody's,MCO
